Name,Type,Category,Area,Address,Price (VND),Price band,Best session,Vibe,Good for,Must try (EN),Must try (VI),Why we go (EN),Why we go (VI),Hours & notes (EN),Hours & notes (VI),Link,Last checked,EN reviewed,Indoor / Outdoor,English friendly,Payment,Open days,Photo,Localness (1-5),Value (1-5),Search keywords,Data status
Mỳ tôm mực Thông Thành,🍜 Food · Đồ ăn,Mỳ Quảng,Son Tra · Sơn Trà,"Lô 17 Hoàng Sa, Sơn Trà (opposite Mân Thái beach)",40k–60k / bowl,₫,"☀️ Morning · Buổi sáng, 🍜 Lunch · Buổi trưa","Casual · Bình dân, Beach · Biển","Solo · Đi một mình, Couple · Cặp đôi, Group · Nhóm bạn",Squid & shrimp noodles,Mỳ tôm mực,"Great after SUP or a swim, second best after a ride around Son Tra. Very fresh squid - ask them to remove the ink sac if you don't want a black mouth (they normally leave it in for sweetness).","Ngon tuyệt sau khi chèo SUP, tắm biển. Mực tươi rói siêu ngon. Sợ đen miệng thì nói bỏ túi mực (bình thường họ không lấy ra — để cho ngọt nước).",,,,,,,,,,,,,My tom muc Thong Thanh,Draft - verify
Bánh canh cá Cô Cúc,🍜 Food · Đồ ăn,Bánh canh,Hai Chau · Hải Châu,82-84 Bùi Dương Lịch,12k / bowl,₫,"🍽️ Dinner · Bữa tối, 🌙 Evening · Buổi tối","Street food · Ăn vỉa hè, Local · Bản địa","Solo · Đi một mình, Group · Nhóm bạn","Bánh canh; nem chua, chả, grilled fish, sugarcane juice","Bánh canh; nem chua, chả, cá nục nướng, nước mía","Locals call it ""pig's bánh canh"" (big pot, ladled roughly). Self-service: queue for your bowl, then call to pay. You'd struggle to spend over 50k.","Dân bên này gọi là ""bánh canh heo"" vì nấu nồi to, múc ẩu. Tự phục vụ: xếp hàng lấy bánh canh, ăn xong tự gọi tính tiền. Có nem chua, chả và cá nục nướng ăn kèm; thêm ly nước mía là đúng bài. Ăn nhiều lắm mới hết 50k.",Evening only.,Chỉ bán chiều tối.,https://www.foody.vn/da-nang/banh-canh-ca-nuong,,,,,,,,,,Banh canh ca Co Cuc,Draft - verify
Bánh canh cá lóc Hiền,🍜 Food · Đồ ăn,Bánh canh,Hai Chau · Hải Châu,134 Huỳnh Thúc Kháng,25k / bowl; nem & chả 5k,₫,"🍜 Lunch · Buổi trưa, 🍽️ Dinner · Bữa tối","Casual · Bình dân, Local · Bản địa",Solo · Đi một mình,Quảng Trị-style bánh canh; bánh ướt lòng heo; bún mắm,Bánh canh Quảng Trị; bánh ướt lòng heo; bún mắm,"Spicy, flavorful bánh canh - order plenty of scallion.","Quán bán bánh canh Quảng Trị, bánh ướt lòng heo, bún mắm. Bánh canh ngon, cay. Ai thích ăn hành thì gọi nhiều hành.",,,https://www.foody.vn/da-nang/quan-hien-dac-san-quang-tri-huynh-thuc-khang,,,,,,,,,,Banh canh ca loc Hien,Draft - verify
Bánh canh rong biển,🍜 Food · Đồ ăn,Bánh canh,Hai Chau · Hải Châu,92 Huỳnh Thúc Kháng,30k / bowl,₫,"🍜 Lunch · Buổi trưa, 🍽️ Dinner · Bữa tối",Casual · Bình dân,Solo · Đi một mình,Seaweed bánh canh,Bánh canh rong biển,"Seaweed bánh canh (tapioca, brown rice or wheat noodles). Tasty and open all day.","Bánh canh rong biển (bột lọc, bột gạo lứt, bột mỳ). Ngon, bán cả ngày.",Open all day.,Bán cả ngày.,https://share.google/89aLSOasmMfqpH5S0,,,,,,,,,,Banh canh rong bien,Draft - verify
Hải sản Năm Đảnh,🍜 Food · Đồ ăn,Seafood · Hải sản,Son Tra · Sơn Trà,"139/59/38/10 Trần Quang Khải, Thọ Quang, Sơn Trà",,₫₫,🍽️ Dinner · Bữa tối,Local · Bản địa,"Group · Nhóm bạn, Family · Gia đình",Seafood,Hải sản,Cheap and huge portions - skip lunch and bring digestive enzymes.,"Ăn bể bụng và rẻ lắm, nên nếu được hãy nhịn ăn trưa và chuẩn bị men tiêu hóa.",Go early (5–5:30PM) to pick a table; closes 8:30PM.,Đi sớm 5 – 5:30PM để chọn bàn; quán nghỉ lúc 8:30PM.,,,,,,,,,,,Hai san Nam Danh,Draft - verify
Ốc cay Hà Nội,🍜 Food · Đồ ăn,Seafood · Hải sản,Hai Chau · Hải Châu,174-176 Ông Ích Khiêm,70k–150k,₫₫,"🍽️ Dinner · Bữa tối, 🌙 Evening · Buổi tối","Casual · Bình dân, Local · Bản địa","Group · Nhóm bạn, Friends · Bạn bè","Snails (ốc), chip chip; add bread to fill up","Ốc, chip chip; gọi thêm bánh mỳ nếu muốn no",Great for snail lovers.,"Quán ngon lắm, đặc biệt cho dân ghiền ốc, chip chip.","Open from 4PM, evening only.","Chỉ bán chiều tối, mở cửa từ 4PM.",https://www.foody.vn/da-nang/oc-cay-ha-noi-ong-ich-khiem,,,,,,,,,,Oc cay Ha Noi,Draft - verify
Tiệm ăn Nhà Gạo,🍜 Food · Đồ ăn,Chinese · Ẩm thực Trung Hoa,Son Tra · Sơn Trà,"123 Nguyễn Trung Trực, Sơn Trà",corn roll 20k,₫,"☀️ Morning · Buổi sáng, 🍜 Lunch · Buổi trưa, 🍽️ Dinner · Bữa tối","Family-run · Quán gia đình, Local · Bản địa","Solo · Đi một mình, Family · Gia đình","Cantonese family-recipe rolls (corn roll 20k; huge fresh shrimp roll), wonton soup","Bánh cuốn gia truyền Quảng Đông (bắp mỹ 20k, cuốn tôm), hoành thánh nước",Really good Cantonese family-recipe rolls; addictive menu.,"Bánh cuốn gia truyền Quảng Đông siêu ngon, cuốn tôm siêu to và tươi. Có hoành thánh nước ngon. Menu ngon, ăn là ghiền.","Hours: 6–10AM, 11AM–1:30PM, 5–8:30PM.","Giờ mở cửa: 6 – 10AM, 11 – 13:30, 17:00 – 20:30.",https://www.facebook.com/p/B%C3%A1nh-Cu%E1%BB%91n-Gia-Truy%E1%BB%81n-Qu%E1%BA%A3ng-%C4%90%C3%B4ng-Ti%E1%BB%87m-Nh%C3%A0-G%E1%BA%A1o-100082244542443/,,,,,,,,,,Tiem an Nha Gao,Draft - verify
Bánh tráng trộn Hồng Gấm,🍜 Food · Đồ ăn,Snacks · Ăn vặt,Hai Chau · Hải Châu,"Núi Thành street, next to Da Nang Architecture University",20k–25k,₫,🌙 Evening · Buổi tối,"Street food · Ăn vỉa hè, Local · Bản địa",Solo · Đi một mình,"Bánh tráng trộn, avocado rice paper, tamarind rice paper roll, mango salad","Bánh tráng trộn, bánh tráng bơ, bánh tráng cuốn sốt me, gỏi xoài",Classic student snack menu.,"Có bánh tráng trộn, bánh tráng bơ, bánh tráng cuốn sốt me, gỏi xoài.","Evening only, takeaway only.","Chỉ bán chiều tối, chỉ bán mang đi.",https://www.foody.vn/da-nang/banh-trang-tron-hong-gam-dai-hoc-kien-truc,,,,,,,,,,Banh trang tron Hong Gam,Draft - verify
Ram cuốn cải,🍜 Food · Đồ ăn,Snacks · Ăn vặt,Hai Chau · Hải Châu,"272 Lê Duẩn, Hải Châu",15k–30k / portion,₫,"☕ Afternoon · Buổi chiều, 🌙 Evening · Buổi tối","Street food · Ăn vỉa hè, Local · Bản địa","Solo · Đi một mình, Group · Nhóm bạn",Ram cuốn cải,Ram cuốn cải,Perfect on cold or monsoon days.,"Vào những ngày trời chuyển lạnh, gió mùa về, thưởng thức ram cuốn cải ở đây thì tuyệt vời.",,,https://hanamihotel.com/2019/top-6-quan-ram-cuon-cai-da-nang/,,,,,,,,,,Ram cuon cai,Draft - verify
Bánh tráng thịt heo Đại Lộc,🍜 Food · Đồ ăn,Other Vietnamese · Món khác,Hai Chau · Hải Châu,97 Trưng Nữ Vương,,₫₫,"🍜 Lunch · Buổi trưa, 🍽️ Dinner · Bữa tối",Local · Bản địa,"Group · Nhóm bạn, Family · Gia đình",Rice paper with pork,Bánh tráng thịt heo,Rice paper with pork. (Add your own notes.),Bánh tráng thịt heo. (Bổ sung ghi chú của bạn.),,,https://www.facebook.com/QuanDaiLoc.97TrungNuVuong/,,,,,,,,,,Banh trang thit heo Dai Loc,Draft - verify
Bánh bèo - Nậm & Lọc Huế (Thanh Tịnh),🍜 Food · Đồ ăn,Other Vietnamese · Món khác,Lien Chieu · Liên Chiểu,"59 Thanh Tịnh, Liên Chiểu",6k–30k,₫,"🍜 Lunch · Buổi trưa, ☕ Afternoon · Buổi chiều","Local · Bản địa, Busy · Đông khách","Group · Nhóm bạn, Family · Gia đình","Bánh bèo, lọc, nậm, bánh ướt, nem, chả, yogurt (6k)","Bánh bèo chén, lọc, nậm, bánh ướt, nem, chả, sữa chua (6k)","Very busy - the home base for Hue-style bèo, lọc and nậm. The 6k yogurt is great.","Quán siêu đông khách, có thể gọi là đại bản doanh bánh bèo, lọc, nậm Huế. Món sữa chua siêu ngon chỉ 6k.","Lunch to ~6PM, sells out early. Order by small/large plate.",Bán trưa tới chiều (hết sớm tầm 6PM); gọi theo dĩa nhỏ / lớn.,https://www.foody.vn/da-nang/quan-van-nguyen-nhu-hanh,,,,,,,,,,Banh beo - Nam & Loc Hue (Thanh Tinh),Draft - verify
Chickpea Eatery (Da Nang),🍜 Food · Đồ ăn,Vegan · Thuần chay,Hai Chau · Hải Châu,73/12 Trương Định,,₫₫,"🍜 Lunch · Buổi trưa, 🍽️ Dinner · Bữa tối","Vegan · Thuần chay, Expat friendly · Thân thiện người nước ngoài","Vegetarian · Ăn chay, Vegan · Thuần chay, Solo · Đi một mình",Vegan menu,Món thuần chay,Best pick for vegans or on Buddhist vegetarian days. You'll meet many foreigners; the owner founded a private tour company. Second branch in Hoi An (86/5 Phan Châu Trinh).,"Ai ăn thuần chay, hoặc đi ĐN vào ngày ăn chay thì quán này là best. Vào đây sẽ gặp rất nhiều Tây vì cô chủ là founder của một công ty private tour. Có thêm chi nhánh ở Hội An (86/5 Phan Châu Trinh).",,,https://www.facebook.com/chickpea.eatery,,,,,,,,,,Chickpea Eatery (Da Nang),Draft - verify
Breakfast stalls (Nguyễn Chí Thanh × Hải Phòng),🍜 Food · Đồ ăn,Breakfast · Ăn sáng,Hai Chau · Hải Châu,"Junction of Nguyễn Chí Thanh and Hải Phòng, opposite The Coffee House, next to Phan Châu Trinh high school",Egg baguette 10k–15k,₫,☀️ Morning · Buổi sáng,"Street food · Ăn vỉa hè, Local · Bản địa",Solo · Đi một mình,"Bánh mì ốp la (fried egg baguette), xôi, bánh ướt, bánh tiêu","Bánh mỳ ốp la, xôi, bánh ướt, bánh tiêu, bánh bò",Cheap student breakfast stalls; the fried-egg baguette is excellent.,"Chủ yếu bán cho học sinh, giá rẻ. Bánh mỳ ốp la ngon (1 trứng 10k, 2 trứng 15k).",Morning only.,Chỉ bán sáng.,https://goo.gl/maps/mJ5UCLW1AgQPLXcV8,,,,,,,,,,Breakfast stalls (Nguyen Chi Thanh × Hai Phong),Draft - verify
Bếp Cuốn Đà Nẵng,🍜 Food · Đồ ăn,Other Vietnamese · Món khác,My An · Mỹ An,"54 Nguyễn Văn Thoại, Mỹ An, Ngũ Hành Sơn",~100k / dish,₫₫₫,🍽️ Dinner · Bữa tối,"Sit-down · Ngồi thoải mái, Tourist friendly · Thân thiện du khách","Couple · Cặp đôi, Family · Gia đình, Group · Nhóm bạn",Mẹt Bếp Cuốn (sharing platter),Mẹt Bếp Cuốn,"Pricier than average but many Vietnamese dishes, set meals or à la carte. Order the sharing platter. Best for 2 people or a group.","Giá tương đối cao so với mặt bằng (tầm 100k / món). Nhiều món ăn Việt Nam, cơm theo set hoặc gọi món. Recommend gọi ""Mẹt Bếp Cuốn"". Phù hợp 2 người hoặc nhóm bạn, gia đình.",,,https://goo.gl/maps/harPD6sjbPHPxpYQ7,,,,,,,,,,Bep Cuon Da Nang,Draft - verify
Cơm Nhà Vui - Lẩu Riêu Hà Nội,🍜 Food · Đồ ăn,Rice · Cơm,Hai Chau · Hải Châu,"CS1: 86 Đường 2/9, Hải Châu; CS2: 133 Hà Bổng, Sơn Trà",,₫₫,🍜 Lunch · Buổi trưa,"Casual · Bình dân, Local · Bản địa","Group · Nhóm bạn, Family · Gia đình","Home-style rice, Hanoi lẩu riêu","Cơm nhà, lẩu riêu Hà Nội",Lunch that tastes like home cooking; set meals or à la carte. Relatively cheap.,"Cơm trưa ngon như cơm nhà. Nhiều món ăn Việt Nam, cơm theo set hoặc gọi món. Giá tương đối rẻ. Phù hợp nhóm bạn hoặc gia đình.",,,https://goo.gl/maps/apk8Eg4Wgmtu9Q7D8,,,,,,,,,,Com Nha Vui - Lau Rieu Ha Noi,Draft - verify
Miến & Bún măng gà Cô Nhâm,🍜 Food · Đồ ăn,Bún · Noodles,,22 Tố Hữu,Miến 30k; Bún 25k,₫,☀️ Morning · Buổi sáng,"Casual · Bình dân, Local · Bản địa",Solo · Đi một mình,"Miến măng gà (30k), Bún măng gà (25k)","Miến măng gà (30k), Bún măng gà (25k)",Breakfast noodles with chicken and bamboo shoots.,Quán phục vụ đồ ăn sáng.,Breakfast.,Đồ ăn sáng.,https://g.co/kgs/8Ke23Ni,,,,,,,,,,Mien & Bun mang ga Co Nham,Draft - verify
Khâu Cà phê,☕ Coffee · Cà phê,Garden cafe · Cafe sân vườn,Hai Chau · Hải Châu,"75/18 Lê Hồng Phong, Hải Châu",30k–50k,₫,"☀️ Morning · Buổi sáng, ☕ Afternoon · Buổi chiều","Garden · Sân vườn, Quiet · Yên tĩnh, Work-friendly · Làm việc tốt","Solo · Đi một mình, Friends · Bạn bè, Work · Làm việc",,,"A garden to breathe and talk in, and a place to escape the office and work among greenery.","Một khu vườn để thở và trò chuyện cùng bạn bè, gia đình. Nơi trốn văn phòng ngồi làm việc giữa một màu xanh.",6AM–11PM,6:00 – 23:00,https://maps.app.goo.gl/vGHTu74EkCSByeJi8,,,,,,,,,,Khau Ca phe,Draft - verify
The 59 Cafe,☕ Coffee · Cà phê,Garden cafe · Cafe sân vườn,Hai Chau · Hải Châu,"Kiệt 59 Hải Phòng, Hải Châu",30k–50k,₫,"☀️ Morning · Buổi sáng, ☕ Afternoon · Buổi chiều","Garden · Sân vườn, Quiet · Yên tĩnh, Work-friendly · Làm việc tốt","Solo · Đi một mình, Friends · Bạn bè, Work · Làm việc",,,Quiet garden cafe overlooking a pagoda's grounds; another office-escape spot.,"Một khu vườn để thở và trò chuyện. Góc nhìn ra khuôn viên chùa để ngắm cây cối, yên tĩnh. Nơi trốn văn phòng ngồi làm việc.",7AM–8:30PM,7:00 – 20:30,https://maps.app.goo.gl/oX5nsGg1DsSfRzRH8,,,,,,,,,,The 59 Cafe,Draft - verify
Cà phê Long,☕ Coffee · Cà phê,Local coffee · Cafe truyền thống,Hai Chau · Hải Châu,123 Lê Lợi,10k–30k,₫,"🌅 Early Morning · Sáng sớm, ☀️ Morning · Buổi sáng","Old school · Quán lâu đời, Local · Bản địa",Solo · Đi một mình,,,"Oldest cafe in the city center (30+ years); always busy, mostly middle-aged locals. Smoking allowed. Long-serving staff work full-time with housing and insurance.","Cafe lâu đời nhất ngay trung tâm TP, hơn 30 năm. Quán không bao giờ vắng khách, chủ yếu khách trung tuổi, có hút thuốc. Các cô chú làm lâu năm, phục vụ toàn thời gian, có nơi ở tại quán + đóng bảo hiểm.",6AM–6PM,6:00 – 18:00,https://goo.gl/maps/LKjuWcahSAUTvGRg7,,,,,,,,,,Ca phe Long,Draft - verify
The Local Beans (186 Phan Châu Trinh),☕ Coffee · Cà phê,Specialty coffee · Cafe specialty,Hai Chau · Hải Châu,186 Phan Châu Trinh,50k–100k,₫₫,"☀️ Morning · Buổi sáng, ☕ Afternoon · Buổi chiều","Premium · Cao cấp, View · View đẹp, Airy · Thoáng mát","Couple · Cặp đôi, Friends · Bạn bè, Work · Làm việc",,,"Premium branch with a nice view and open space - good for work, dates or meeting friends.","Premium, view đẹp, không gian thoáng. Phù hợp làm việc, hẹn hò, tụ tập bạn bè.",,,https://maps.app.goo.gl/edQf8TPuizwtgbJN7,,,,,,,,,,The Local Beans (186 Phan Chau Trinh),Draft - verify
The Local Beans (84 Châu Thị Vĩnh Tế),☕ Coffee · Cà phê,Specialty coffee · Cafe specialty,My An · Mỹ An,84 Châu Thị Vĩnh Tế,30k–60k; coworking 85k/day,₫,"☀️ Morning · Buổi sáng, ☕ Afternoon · Buổi chiều","Work-friendly · Làm việc tốt, Mid-range · Tầm trung","Work · Làm việc, Friends · Bạn bè",,,"Third-floor coworking space (85k/day includes one free drink). Mid-price, good quality.","Làm việc (tầng 3 có working space), giá tầm trung, chất lượng. Working space 85k/ngày (free 1 ly nước bất kỳ).",,,https://goo.gl/maps/G6bNML96hS74Aetm6,,,,,,,,,,The Local Beans (84 Chau Thi Vinh Te),Draft - verify
Cà Phê Muối Huế,☕ Coffee · Cà phê,Local coffee · Cafe truyền thống,Hai Chau · Hải Châu,254 Trần Phú,30k–50k,₫,"🌅 Early Morning · Sáng sớm, ☀️ Morning · Buổi sáng","Quiet · Yên tĩnh, Green · Xanh mát, Local · Bản địa","Solo · Đi một mình, Couple · Cặp đôi",Salt coffee,Cà phê muối,Best in the early morning when the street is quiet and green; pigeons across the street. Good salt coffee at everyday prices.,"Thích hợp nhất ngồi vào sáng sớm, lúc không khí còn trong lành, đường yên tĩnh và cây xanh ngập các góc nhìn. Đối diện còn có đàn bồ câu. Cà phê muối ngon, giá bình dân.",,,https://maps.app.goo.gl/ena1wh66ctUFBcWv6,,,,,,,,,,Ca Phe Muoi Hue,Draft - verify
43 Factory Coffee Roaster,☕ Coffee · Cà phê,Specialty coffee · Cafe specialty,My An · Mỹ An,Lô 442 Ngô Thì Sĩ,100k+,₫₫₫,"☀️ Morning · Buổi sáng, ☕ Afternoon · Buổi chiều","Specialty · Specialty, Roastery · Rang xay",Coffee lovers · Dân mê cà phê,,,For people who really appreciate professionally roasted coffee.,Phù hợp người chuyên thưởng thức cafe rang xay chuyên nghiệp.,,,https://g.page/43factorycoffeeroaster?share,,,,,,,,,,43 Factory Coffee Roaster,Draft - verify
Cam Cafe,☕ Coffee · Cà phê,Local coffee · Cafe truyền thống,Hai Chau · Hải Châu,75 Nguyễn Du,15k–50k,₫,"🌅 Early Morning · Sáng sớm, 🌙 Evening · Buổi tối","Quiet · Yên tĩnh, Airy · Thoáng mát","Solo · Đi một mình, Couple · Cặp đôi","Salt coffee (25k), salt cheese-cream coffee (35k)","Cafe muối (25k), cafe muối kem cheese (35k)",Quiet street and airy space - great on weekend mornings or moonlit evenings.,"Đường vắng yên tĩnh, không gian thoáng — hợp ngồi cafe sáng sớm cuối tuần hoặc buổi tối những ngày trăng sáng.",,,https://camcafe-cafe.business.site/,,,,,,,,,,Cam Cafe,Draft - verify
Ikigai Garden Cafe,☕ Coffee · Cà phê,Garden cafe · Cafe sân vườn,Hai Chau · Hải Châu,60 Nguyễn Chí Thanh; 218/8 Đống Đa,from 22k,₫,☕ Afternoon · Buổi chiều,"Garden · Sân vườn, Spacious · Rộng rãi","Family · Gia đình, Friends · Bạn bè",,,"Spacious, airy and green - relaxed weekends with friends and family.","Không gian rộng rãi, thoáng mát, nhiều cây xanh. Phù hợp thư giãn những ngày cuối tuần với bạn bè và gia đình.",7:30–22:30,7:30 – 22:30,https://goo.gl/maps/TcaiH36iviJLiCgd7,,,,,,,,,,Ikigai Garden Cafe,Draft - verify
Gé Cafe,☕ Coffee · Cà phê,Work-friendly cafe · Cafe làm việc,Hai Chau · Hải Châu,"24-26 Lê Hồng Phong, Hải Châu",,₫,🌃 Late Night · Khuya,"Open 24h · Mở 24/24, Work-friendly · Làm việc tốt","Students · Sinh viên, Deadline crunch · Chạy deadline",,,Open 24/7 with no surcharge - for students and deadline emergencies.,Mở 24/24 mỗi ngày (không có phụ thu). Phù hợp sinh viên hoặc bạn bị dí deadline.,24/7,24/24,https://goo.gl/maps/YRJgrDJTTNM9KH5o6,,,,,,,,,,Ge Cafe,Draft - verify
Namto House Coffee,☕ Coffee · Cà phê,Work-friendly cafe · Cafe làm việc,Hai Chau · Hải Châu,"130 Nguyễn Chí Thanh; 480 Tôn Đức Thắng, Liên Chiểu",~35k,₫,☕ Afternoon · Buổi chiều,"Classic European · Cổ điển châu Âu, Quiet · Yên tĩnh","Solo · Đi một mình, Work · Làm việc, Reading · Đọc sách",Tiramisu (~60k),Tiramisu (~60k),"Classic European-style, quiet and comfortable for working and reading.","Phong cách cổ điển châu Âu, không gian yên tĩnh và thoải mái để làm việc và đọc sách.",7:00–22:00,7:00 – 22:00,https://goo.gl/maps/Due8G72EEWfWewwdA,,,,,,,,,,Namto House Coffee,Draft - verify
